epsilon,delta_I,lambda,sigma_mult,sigma,n,p_any_hit,p_narrow_hit,p_broad_hit,p_no_hit,p_R_0p0_to_0p1,p_R_0p1_to_0p5,p_R_0p5_to_2p0,p_R_2p0_to_4p0,p_R_4p0_to_inf,p_entered_narrow,p_entered_broad,p_multi_narrow,p_multi_broad,median_hit_R,q25_hit_R,q75_hit_R,scale_half,scale_twothirds,scale_eps34
0.08,0.01,0.008,4.0,0.10119288512538814,1000,0.171,0.054,0.116,0.829,0.048,0.02,0.054,0.042,0.007,0.956,0.994,0.004,0.0,0.8816488290654819,0.022182122637029275,2.0891718789300557,4.0,8.944271909999157,0.6727171322029717
0.08,0.01,0.008,5.0,0.12649110640673517,1000,0.269,0.077,0.176,0.731,0.052,0.029,0.077,0.07,0.041,0.894,0.965,0.005,0.003,1.5727544301851515,0.22816391625145563,2.9821154789804076,5.0,11.180339887498945,0.8408964152537145
0.08,0.01,0.008,6.5,0.1644384383287557,1000,0.357,0.079,0.201,0.643,0.049,0.022,0.079,0.1,0.107,0.797,0.9,0.001,0.002,2.754890116142872,0.8186750983105268,4.379539296333599,6.499999999999999,14.53444185374863,1.0931653398298289
0.08,0.01,0.008,8.0,0.20238577025077628,1000,0.44,0.093,0.221,0.56,0.049,0.026,0.093,0.102,0.17,0.728,0.831,0.001,0.0,3.05981833241794,1.0522341991653255,5.386971182374085,8.0,17.888543819998315,1.3454342644059434
0.08,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.08,0.02,0.016,0.5,0.017888543819998316,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,0.9960550474146117,0.1189207115002721
0.08,0.02,0.016,1.0,0.03577708763999663,1000,0.004,0.0,0.0,0.996,0.004,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0002849456994844472,9.544466794088621e-05,0.0007786606269257602,1.0,1.9921100948292234,0.2378414230005442
0.08,0.02,0.016,1.5,0.05366563145999495,1000,0.037,0.005,0.008,0.963,0.029,0.003,0.005,0.0,0.0,1.0,1.0,0.0,0.0,0.001444145391098128,0.0003640693471937383,0.036442689239745106,1.5,2.9881651422438353,0.35676213450081634
0.08,0.02,0.016,2.0,0.07155417527999326,1000,0.088,0.018,0.038,0.912,0.05,0.019,0.018,0.001,0.0,0.999,1.0,0.0,0.0,0.0017116905594666571,0.0004705239551239868,0.4321503198344543,2.0,3.984220189658447,0.4756828460010884
0.08,0.02,0.016,2.5,0.08944271909999157,1000,0.148,0.041,0.082,0.852,0.064,0.025,0.041,0.016,0.002,0.983,0.998,0.003,0.0,0.21737711443636953,0.0009565259840850083,0.9568066422402354,2.5,4.980275237073058,0.5946035575013605
0.08,0.02,0.016,3.0,0.1073312629199899,1000,0.203,0.06,0.111,0.797,0.087,0.035,0.06,0.016,0.005,0.98,0.995,0.0,0.001,0.28256157586355773,0.001412570972403509,1.1050954865838252,3.0,5.976330284487671,0.7135242690016327
0.08,0.02,0.016,4.0,0.14310835055998652,1000,0.278,0.088,0.181,0.722,0.069,0.035,0.088,0.058,0.028,0.917,0.974,0.001,0.001,0.9696564385490818,0.11936264198526941,2.5388159761546887,4.0,7.968440379316894,0.9513656920021768
0.08,0.02,0.016,5.0,0.17888543819998315,1000,0.379,0.115,0.239,0.621,0.064,0.035,0.115,0.089,0.076,0.838,0.924,0.001,0.0,1.6375792873434671,0.44949875117912563,3.513485650216758,5.0,9.960550474146116,1.189207115002721
0.08,0.02,0.016,6.5,0.2325510696599781,1000,0.495,0.112,0.27,0.505,0.066,0.042,0.112,0.116,0.159,0.728,0.842,0.001,0.002,2.429490742388556,0.7121374408322366,4.665195209531418,6.5,12.948715616389952,1.5459692495035373
0.08,0.02,0.016,8.0,0.28621670111997305,1000,0.561,0.111,0.28,0.439,0.055,0.037,0.111,0.132,0.226,0.643,0.776,0.001,0.0,3.262822701415469,1.1769452581975395,5.110404689826562,8.0,15.936880758633787,1.9027313840043536
0.08,0.04,0.032,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.08,0.04,0.032,0.5,0.025298221281347035,1000,0.001,0.0,0.0,0.999,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0005880256508220299,0.0005880256508220299,0.0005880256508220299,0.5,0.8873841649388925,0.16817928305074292
0.08,0.04,0.032,1.0,0.05059644256269407,1000,0.028,0.0,0.001,0.972,0.027,0.001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0006635256283837995,0.0003792393289931956,0.001007782350026661,1.0,1.774768329877785,0.33635856610148585
0.08,0.04,0.032,1.5,0.0758946638440411,1000,0.119,0.01,0.03,0.881,0.089,0.02,0.01,0.0,0.0,1.0,1.0,0.0,0.0,0.001116556886078725,0.0003269279204023398,0.113512374550619,1.5,2.6621524948166773,0.5045378491522288
0.08,0.04,0.032,2.0,0.10119288512538814,1000,0.182,0.041,0.084,0.818,0.098,0.039,0.041,0.004,0.0,0.996,1.0,0.0,0.0,0.01564004381789571,0.0008546802648083591,0.49677876859000364,2.0,3.54953665975557,0.6727171322029717
0.08,0.04,0.032,2.5,0.12649110640673517,1000,0.247,0.07,0.142,0.753,0.105,0.055,0.07,0.017,0.0,0.983,1.0,0.0,0.0,0.2420670451205697,0.0011743141105912418,0.8026853212172103,2.5,4.436920824694462,0.8408964152537145
0.08,0.04,0.032,3.0,0.1517893276880822,1000,0.336,0.112,0.21,0.664,0.116,0.053,0.112,0.045,0.01,0.946,0.99,0.0,0.0,0.48084788789400473,0.0018432533281704214,1.4030494013306893,3.0,5.3243049896333545,1.0090756983044575
0.08,0.04,0.032,4.0,0.20238577025077628,1000,0.437,0.148,0.29,0.563,0.091,0.052,0.148,0.09,0.056,0.855,0.945,0.0,0.0,1.0532662207412093,0.2465354841923469,2.6554401260204936,4.0,7.09907331951114,1.3454342644059434
0.08,0.04,0.032,5.0,0.25298221281347033,1000,0.522,0.154,0.306,0.478,0.095,0.048,0.154,0.104,0.121,0.775,0.883,0.001,0.0,1.6867594022855446,0.38357414649362953,3.8253751400305034,5.0,8.873841649388924,1.681792830507429
0.08,0.04,0.032,6.5,0.3288768766575114,1000,0.616,0.142,0.346,0.384,0.065,0.035,0.142,0.169,0.205,0.627,0.795,0.0,0.0,2.7357570920878294,0.9895755949390328,4.747274108019481,6.499999999999999,11.5359941442056,2.1863306796596578
0.08,0.04,0.032,8.0,0.40477154050155256,1000,0.679,0.132,0.314,0.321,0.055,0.038,0.132,0.144,0.31,0.547,0.691,0.002,0.0,3.592960518220063,1.3518530371193158,5.877463578889092,8.0,14.19814663902228,2.6908685288118868
