epsilon,delta_I,lambda,sigma_mult,sigma,n,p_any_hit,p_narrow_hit,p_broad_hit,p_no_hit,p_R_0p0_to_0p1,p_R_0p1_to_0p5,p_R_0p5_to_2p0,p_R_2p0_to_4p0,p_R_4p0_to_inf,p_entered_narrow,p_entered_broad,p_multi_narrow,p_multi_broad,median_hit_R,q25_hit_R,q75_hit_R,scale_half,scale_twothirds,scale_eps34
0.01,0.04,0.032,1.0,0.01788854381999832,1000,0.137,0.004,0.02,0.863,0.117,0.016,0.004,0.0,0.0,1.0,1.0,0.0,0.0,0.002476045745262146,0.0010859579450056714,0.005210718247771702,1.0,1.774768329877785,0.5656854249492381
0.01,0.04,0.032,1.5,0.026832815729997482,1000,0.227,0.032,0.078,0.773,0.149,0.045,0.032,0.001,0.0,1.0,1.0,0.0,0.0,0.004007293235550711,0.0014562059591507696,0.23053497733856806,1.5000000000000002,2.6621524948166777,0.8485281374238572
0.01,0.04,0.032,2.0,0.03577708763999664,1000,0.325,0.099,0.179,0.675,0.145,0.065,0.099,0.015,0.001,0.984,0.999,0.002,0.0,0.1906926741490103,0.002812043198283559,0.7482052126709849,2.0,3.54953665975557,1.1313708498984762
0.01,0.04,0.032,2.5,0.044721359549995794,1000,0.412,0.158,0.274,0.588,0.137,0.066,0.158,0.05,0.001,0.949,0.999,0.001,0.001,0.521186319405851,0.008295767403205829,1.1965288264064173,2.5,4.436920824694462,1.4142135623730951
0.01,0.04,0.032,3.0,0.053665631459994964,1000,0.493,0.186,0.33,0.507,0.14,0.063,0.186,0.081,0.023,0.896,0.977,0.0,0.0,0.7735120215314601,0.040042125242831406,1.7380319564497697,3.0000000000000004,5.324304989633355,1.6970562748477145
0.01,0.04,0.032,4.0,0.07155417527999328,1000,0.632,0.22,0.431,0.368,0.098,0.067,0.22,0.144,0.103,0.753,0.898,0.0,0.001,1.4540352486312917,0.4472611092139148,2.9649112302630325,4.0,7.09907331951114,2.2627416997969525
0.01,0.04,0.032,5.0,0.08944271909999159,1000,0.715,0.192,0.451,0.285,0.078,0.059,0.192,0.2,0.186,0.614,0.814,0.0,0.0,2.2353110811460604,0.8870489801554851,4.085370031877918,5.0,8.873841649388924,2.8284271247461903
0.01,0.04,0.032,6.5,0.11627553482998906,1000,0.815,0.153,0.378,0.185,0.064,0.039,0.153,0.186,0.373,0.441,0.629,0.0,0.0,3.6749239600691417,1.5300837814869555,5.671645168574245,6.499999999999999,11.5359941442056,3.6769552621700474
0.01,0.04,0.032,8.0,0.14310835055998655,1000,0.862,0.132,0.343,0.138,0.037,0.029,0.132,0.182,0.482,0.336,0.518,0.0,0.0,4.442504554778116,2.217457404044847,6.292893746187439,8.0,14.19814663902228,4.525483399593905
0.02,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0
0.02,0.01,0.008,0.5,0.006324555320336759,1000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.5,1.1180339887498947,0.11892071150027211
0.02,0.01,0.008,1.0,0.012649110640673518,1000,0.006,0.0,0.0,0.994,0.006,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.00157007686371163,0.0013112345745958502,0.002210823780062189,1.0,2.2360679774997894,0.23784142300054423
0.02,0.01,0.008,1.5,0.018973665961010275,1000,0.033,0.002,0.006,0.967,0.027,0.004,0.002,0.0,0.0,1.0,1.0,0.0,0.0,0.0028767961762577073,0.0006837501698303932,0.004992677037550807,1.5,3.354101966249684,0.35676213450081634
0.02,0.01,0.008,2.0,0.025298221281347035,1000,0.076,0.013,0.031,0.924,0.045,0.016,0.013,0.002,0.0,1.0,1.0,0.0,0.001,0.004805914183355537,0.0012907496538986797,0.3335733835559641,2.0,4.472135954999579,0.47568284600108846
0.02,0.01,0.008,2.5,0.03162277660168379,1000,0.124,0.032,0.07,0.876,0.051,0.03,0.032,0.008,0.003,0.99,0.999,0.0,0.001,0.19869019839245128,0.0027178516415961246,0.7581579909188322,2.5,5.590169943749473,0.5946035575013605
0.02,0.01,0.008,3.0,0.03794733192202055,1000,0.163,0.048,0.1,0.837,0.057,0.028,0.048,0.024,0.006,0.976,0.994,0.006,0.0,0.4525836245562832,0.004351761678528231,1.6178849116170757,3.0,6.708203932499368,0.7135242690016327
0.02,0.01,0.008,4.0,0.05059644256269407,1000,0.29,0.076,0.178,0.71,0.077,0.038,0.076,0.064,0.035,0.905,0.969,0.002,0.002,0.8965152243590815,0.0708023324958327,2.838038085225958,4.0,8.944271909999157,0.9513656920021769
0.02,0.01,0.008,5.0,0.06324555320336758,1000,0.349,0.095,0.214,0.651,0.064,0.037,0.095,0.082,0.071,0.849,0.935,0.001,0.004,1.5477723004675683,0.34617365160796626,3.782736255251859,5.0,11.180339887498945,1.189207115002721
0.02,0.01,0.008,6.5,0.08221921916437785,1000,0.463,0.103,0.267,0.537,0.05,0.037,0.103,0.127,0.146,0.729,0.855,0.0,0.003,2.5093856915260164,0.8856143280026871,4.7332238495723225,6.499999999999999,14.53444185374863,1.5459692495035373
