epsilon,delta_I,lambda,sigma_mult,sigma,n,p_pre_window,p_window,p_post_window,p_no_hit,p_any_hit,p_entered_window,mean_entry_count,p_multiple_entries,median_first_hit_W_ratio,scale_half,scale_twothirds,scale_eps34
0.01,0.04,0.032,5.0,0.08944271909999159,1000,0.386,0.192,0.137,0.285,0.715,0.614,0.614,0.0,2.2353110811460604,5.0,8.873841649388924,2.8284271247461903
0.01,0.04,0.032,6.5,0.11627553482998906,1000,0.559,0.153,0.103,0.185,0.815,0.441,0.441,0.0,3.6749239600691417,6.499999999999999,11.5359941442056,3.6769552621700474
0.01,0.04,0.032,8.0,0.14310835055998655,1000,0.664,0.132,0.066,0.138,0.862,0.336,0.336,0.0,4.442504554778116,8.0,14.19814663902228,4.525483399593905
0.02,0.01,0.008,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.02,0.01,0.008,0.5,0.006324555320336759,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.5,1.1180339887498947,0.11892071150027211
0.02,0.01,0.008,1.0,0.012649110640673518,1000,0.0,0.0,0.006,0.994,0.006,1.0,1.0,0.0,0.00157007686371163,1.0,2.2360679774997894,0.23784142300054423
0.02,0.01,0.008,1.5,0.018973665961010275,1000,0.0,0.002,0.031,0.967,0.033,1.0,1.0,0.0,0.0028767961762577073,1.5,3.354101966249684,0.35676213450081634
0.02,0.01,0.008,2.0,0.025298221281347035,1000,0.002,0.013,0.061,0.924,0.076,1.0,1.0,0.0,0.004805914183355537,2.0,4.472135954999579,0.47568284600108846
0.02,0.01,0.008,2.5,0.03162277660168379,1000,0.011,0.032,0.081,0.876,0.124,0.99,0.99,0.0,0.19869019839245128,2.5,5.590169943749473,0.5946035575013605
0.02,0.01,0.008,3.0,0.03794733192202055,1000,0.03,0.048,0.085,0.837,0.163,0.976,0.982,0.006,0.4525836245562832,3.0,6.708203932499368,0.7135242690016327
0.02,0.01,0.008,4.0,0.05059644256269407,1000,0.099,0.076,0.115,0.71,0.29,0.905,0.907,0.002,0.8965152243590815,4.0,8.944271909999157,0.9513656920021769
0.02,0.01,0.008,5.0,0.06324555320336758,1000,0.153,0.095,0.101,0.651,0.349,0.849,0.851,0.001,1.5477723004675683,5.0,11.180339887498945,1.189207115002721
0.02,0.01,0.008,6.5,0.08221921916437785,1000,0.273,0.103,0.087,0.537,0.463,0.729,0.729,0.0,2.5093856915260164,6.499999999999999,14.53444185374863,1.5459692495035373
0.02,0.01,0.008,8.0,0.10119288512538814,1000,0.385,0.103,0.081,0.431,0.569,0.616,0.617,0.001,3.426895815458395,8.0,17.888543819998315,1.9027313840043538
0.02,0.02,0.016,0.0,0.0,1000,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0
0.02,0.02,0.016,0.5,0.008944271909999158,1000,0.0,0.0,0.001,0.999,0.001,1.0,1.0,0.0,0.0004895443406776363,0.5,0.9960550474146117,0.1681792830507429
0.02,0.02,0.016,1.0,0.017888543819998316,1000,0.0,0.0,0.042,0.958,0.042,1.0,1.0,0.0,0.0009007810743712928,1.0,1.9921100948292234,0.3363585661014858
0.02,0.02,0.016,1.5,0.026832815729997475,1000,0.0,0.013,0.096,0.891,0.109,1.0,1.003,0.002,0.0019763135679148705,1.5,2.9881651422438353,0.5045378491522288
0.02,0.02,0.016,2.0,0.03577708763999663,1000,0.001,0.032,0.139,0.828,0.172,1.0,1.0,0.0,0.004492529867648099,2.0,3.984220189658447,0.6727171322029716
