deltaI,lambda,I,eps,sigma,n,frac_fired,frac_peeled,frac_early,mean_t_peel,mean_W_peel,mean_t_fire,det_t_peel,det_W_peel,pred_sigma,T_phys
0.01,0.008,0.3016666666666667,0.03,0.018,800,0.34375,0.97875,0.39125,19.351347381864624,0.001493576014719984,26.855672727272726,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.024,800,0.4225,0.95625,0.4175,18.582493464052288,0.0026509807898892827,26.284008875739648,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.032,800,0.5675,0.96625,0.54875,16.55159120310479,0.005946391075246398,24.55840859030837,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.045,800,0.65125,0.95625,0.6575,13.470830065359479,0.015512176462078787,22.807202495201537,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.06,800,0.76875,0.98375,0.75375,11.333081321473951,0.02478421642957794,21.498569105691058,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.075,800,0.80625,0.98375,0.82375,9.016114993646761,0.0349065334928096,19.537631782945738,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.09,800,0.855,0.99125,0.86125,7.634650063051702,0.04387882968060457,18.343296783625732,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.03,0.11,800,0.90875,0.99125,0.90875,6.0197288776796976,0.05100559376080011,16.486213892709763,20.115000000000002,0.0005456112784984084,0.009797958971132713,32.18297948685432
0.01,0.008,0.3016666666666667,0.04,0.0,800,0.0,1.0,0.0,17.362500000000004,0.0007476314493142718,nan,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.006,800,0.0,1.0,0.0325,17.378834375,0.0007223483084411334,nan,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.01,800,0.075,0.99625,0.16125,17.430373274780425,0.0008751383153462998,26.668250000000004,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.014,800,0.15,0.98625,0.26125,17.433700887198988,0.0012180573735955773,25.81152083333333,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.018,800,0.27125,0.9725,0.28125,17.353348329048845,0.0009375995287534204,25.14510368663594,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.024,800,0.32625,0.9625,0.37125,16.87146103896104,0.0026802048013610563,23.821599616858236,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.032,800,0.44625,0.9725,0.50125,15.260459511568124,0.0027393082913910283,22.32517507002801,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.045,800,0.55625,0.96625,0.5875,13.0945957309185,0.01068340740216462,21.082573033707867,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.06,800,0.6575,0.975,0.68375,11.22055448717949,0.01817795030996106,20.166725285171108,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.075,800,0.72125,0.98375,0.785,8.952944726810674,0.027559551154348477,18.464215771230503,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.09,800,0.8075,0.98125,0.8125,7.816726114649681,0.03293960107671954,17.419400154798762,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.04,0.11,800,0.86375,0.98875,0.87125,6.385527812895069,0.04292989810038302,16.051128798842257,17.3625,0.0007476314493142718,0.011313708498984762,29.24017738212866
0.01,0.008,0.3016666666666667,0.06,0.0,800,0.0,1.0,0.0,14.112500000000002,0.0008372702309840049,nan,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.006,800,0.0,1.0,0.0125,14.125290625,0.0008467117831125504,nan,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.01,800,0.00375,0.9975,0.1,14.214464285714286,0.0009922023104522084,21.825000000000003,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.014,800,0.03875,0.9875,0.2175,14.157265822784812,0.0012741042715431123,22.370725806451613,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.018,800,0.0875,0.98875,0.255,14.222098609355246,0.001370940292985063,21.708214285714284,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.024,800,0.17,0.97875,0.31625,14.205743933588762,0.0013062377060838162,21.157408088235297,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.032,800,0.27375,0.97,0.40625,13.603208762886599,0.001795855110026677,20.250057077625573,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.045,800,0.45625,0.98,0.55125,12.047455357142859,0.003918476422675322,18.783993150684935,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.06,800,0.53625,0.97875,0.6075,10.71078544061303,0.010871954083163535,17.95561188811189,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.075,800,0.63375,0.98,0.705,9.158638392857142,0.01711834673754979,16.646523668639055,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.09,800,0.7025,0.98375,0.75625,7.903722998729353,0.025614921702739765,15.853830071174379,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.06,0.11,800,0.80125,0.98625,0.7975,6.8165177439797215,0.031727963172090236,15.118420436817475,14.1125,0.0008372702309840048,0.01385640646055102,25.543647746451768
0.01,0.008,0.3016666666666667,0.08,0.0,800,0.0,1.0,0.0,12.19,0.0009518973783134071,nan,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.006,800,0.0,1.0,0.0075,12.201184375,0.0009571889112199106,nan,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.01,800,0.0,0.99875,0.0675,12.221342302878599,0.0011050048248052934,nan,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.014,800,0.005,0.99125,0.15,12.287487389659521,0.0014084497262567906,20.283125000000002,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.018,800,0.01125,0.9875,0.21125,12.47898101265823,0.0021656615401617965,19.242222222222225,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.024,800,0.05625,0.98375,0.27625,12.39201080050826,0.0020550613703190436,19.38361111111111,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.032,800,0.14875,0.9825,0.36,12.173361959287533,0.0024655835908497527,18.755672268907563,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.045,800,0.32125,0.98,0.4425,11.478485331632653,0.0033858014301816762,17.484941634241245,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.06,800,0.4575,0.985,0.57625,10.1801269035533,0.007367114001485788,16.627158469945353,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.075,800,0.575,0.97625,0.63,8.888460307298335,0.015476274824333171,15.823961956521739,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.09,800,0.62125,0.9925,0.7,8.030125944584382,0.01878156789151817,15.17939134808853,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.01,0.008,0.3016666666666667,0.08,0.11,800,0.73625,0.98875,0.77375,6.76064791403287,0.027638298848508536,14.244032258064518,12.19,0.0009518973783134073,0.016000000000000004,23.207944168063893
0.02,0.016,0.3116666666666667,0.01,0.0,800,0.0,1.0,0.0,36.005,0.0005732435519236781,nan,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.006,800,0.58125,0.99375,0.12625,36.10472955974843,0.0005591283291812677,42.75560752688172,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.01,800,0.585,0.9475,0.29625,34.97740435356201,0.000687735340129368,41.18640491452992,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.014,800,0.6175,0.91875,0.41375,32.51359183673469,0.0024855994167924025,39.22284412955465,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.018,800,0.685,0.9325,0.51,29.961983914209114,0.0061891932268345285,38.16224452554744,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.024,800,0.7025,0.92875,0.66125,24.503755047106328,0.018504957197794592,35.92822953736655,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.032,800,0.72125,0.9375,0.735,19.949056666666667,0.03509022590792455,33.226364818024265,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.045,800,0.80125,0.96625,0.855,14.46580530401035,0.05749414521868402,30.251224648985964,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.06,800,0.87625,0.98875,0.925,10.227297724399495,0.08043306231719978,25.994775320970046,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.075,800,0.92625,0.99125,0.95125,8.047474779319042,0.09506115159009598,24.152665317139,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.09,800,0.94,0.995,0.97125,6.4263944723618085,0.10409726008411894,21.747646276595745,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.01,0.11,800,0.96625,0.995,0.97625,6.084057788944723,0.11246087166540594,19.688654592496768,36.005,0.0005732435519236782,0.008979696386474985,46.415888336127786
0.02,0.016,0.3116666666666667,0.015,0.0,800,0.0,1.0,0.0,29.29750000000001,0.0006112464995130197,nan,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.006,800,0.63875,0.99875,0.07875,29.30755006257822,0.0006619269996078507,37.35196673189824,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.01,800,0.64125,0.9875,0.21875,29.002177215189874,0.0007488500073492937,35.68266081871345,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.014,800,0.625,0.95125,0.3125,28.436925098554532,0.0009446670575664259,34.65999500000001,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.018,800,0.63625,0.93125,0.41375,27.1144966442953,0.0019586880538655263,33.45396365422397,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.024,800,0.70625,0.9375,0.5175,23.974026666666663,0.007160482279514186,32.03802654867257,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.032,800,0.71375,0.95,0.6375,20.252437500000003,0.020012994375871795,30.820048161120837,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.045,800,0.7825,0.97,0.7625,15.552780283505156,0.03881803606413363,27.377432108626195,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.06,800,0.84375,0.98375,0.8575,11.467261753494283,0.06209304636481728,24.717685185185186,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.075,800,0.86375,0.99,0.905,9.033516414141415,0.07629085580434407,22.64831403762663,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.09,800,0.9375,0.99375,0.9475,7.92851572327044,0.08514308904140001,20.719526666666667,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.015,0.11,800,0.94125,0.99,0.9575,6.031644570707071,0.09950755236499131,19.189448871181938,29.2975,0.0006112464995130198,0.010997837095988823,40.54801330382267
0.02,0.016,0.3116666666666667,0.02,0.0,800,0.0,1.0,0.0,25.300000000000008,0.0007298856005202353,nan,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.006,800,0.03375,1.0,0.05375,25.271293749999998,0.0007432370571557126,30.060925925925925,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.01,800,0.6025,0.995,0.19625,25.24295226130653,0.0007692535934438852,32.58740145228216,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.014,800,0.615,0.975,0.28,25.083192307692308,0.0008576225034963621,31.55525406504065,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.018,800,0.59,0.95375,0.3375,24.62442332896461,0.0011288905407084511,30.74189088983051,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.024,800,0.64875,0.95875,0.4525,22.423207301173406,0.004339371558840364,29.47480732177264,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.032,800,0.685,0.9575,0.5675,19.78045365535248,0.010186115906962386,28.056815693430657,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.045,800,0.7425,0.96125,0.725,15.37294213263979,0.029362370203437717,25.652693602693603,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.06,800,0.7975,0.98125,0.81375,12.162318471337578,0.04967320731772777,23.7333934169279,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.075,800,0.8775,0.98125,0.84625,10.245525477707007,0.05928054379915935,22.037710113960113,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.09,800,0.89875,0.98875,0.89875,7.995107458912769,0.07850485543627138,20.98642906815021,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.02,0.11,800,0.93125,0.99625,0.935,6.728823713927228,0.08712932664513301,18.127197986577183,25.3,0.0007298856005202353,0.012699208415745598,36.84031498640386
0.02,0.016,0.3116666666666667,0.03,0.0,800,0.0,1.0,0.0,20.5625,0.0008120169085508374,nan,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.006,800,0.0,1.0,0.0225,20.495662499999998,0.0008723532789812051,nan,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.01,800,0.49375,0.995,0.1425,20.55527324120603,0.0008831626163560097,28.614772151898737,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.014,800,0.53875,0.97875,0.2175,20.540466155810986,0.0009452588892153223,27.763346867749423,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.018,800,0.58,0.97375,0.29125,20.401957637997434,0.001094490565245565,26.811002155172414,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.024,800,0.625,0.96625,0.39125,19.7541106080207,0.001807577635846705,25.821755,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.032,800,0.63875,0.95625,0.4675,18.03102614379085,0.005867213492309473,24.8756457925636,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.045,800,0.7,0.96875,0.60375,15.34984193548387,0.01602301019691685,23.441183035714285,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.06,800,0.755,0.98125,0.76375,12.013843949044587,0.029106577349373778,21.434544701986756,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.075,800,0.8075,0.975,0.80625,10.456387820512822,0.0415385641515815,20.312167182662538,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.09,800,0.87125,0.9925,0.845,9.095327455919396,0.055338924333168546,19.169483500717362,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.03,0.11,800,0.91,0.995,0.8975,6.8219849246231155,0.07440480583292508,17.352414148351645,20.5625,0.000812016908550837,0.015553290377917325,32.18297948685432
0.02,0.016,0.3116666666666667,0.04,0.0,800,0.0,1.0,0.0,17.75,0.0009959418544599021,nan,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.006,800,0.0,1.0,0.01,17.782815625,0.0009600435524832984,nan,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.01,800,0.005,1.0,0.10125,17.721840625,0.0009885255089428211,22.097500000000004,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.014,800,0.44875,0.99625,0.20125,17.696069636135512,0.0010317863796375849,25.270591922005572,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.018,800,0.49,0.99125,0.245,17.634016393442625,0.0010900684374980164,24.5865306122449,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.024,800,0.5375,0.98625,0.3225,17.574074778200252,0.0013964829790784653,23.607325581395347,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.032,800,0.61125,0.97375,0.415,16.789354942233633,0.002356913944782955,22.573614519427405,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.045,800,0.66125,0.9575,0.53375,14.513593342036554,0.009061681041748237,21.39772211720227,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.06,800,0.71125,0.97875,0.63125,12.763400383141763,0.021143912441238647,20.165887521968365,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
0.02,0.016,0.3116666666666667,0.04,0.075,800,0.78625,0.9875,0.73875,10.889202531645571,0.02931076765921401,19.10203895071542,17.75,0.000995941854459902,0.01795939277294997,29.24017738212866
