lambda,eta50,pred_eta,ratio
0.004,0.16066929133858268,0.02519842099789747,6.3761650522462805
0.006,0.18023668639053256,0.033019272488946275,5.458529907067748
0.008,0.19731914893617022,0.04000000000000001,4.932978723404255
0.012,0.2448072562358277,0.05241482788417794,4.670572548225914
0.016,0.28911704312114994,0.06349604207872799,4.553308106396257
0.024,0.35337579617834397,0.08320335292207617,4.247134084960457
0.032,0.3930620985010707,0.10079368399158986,3.899669929058923
0.048,0.5062271062271062,0.13207708995578507,3.832815414062907
0.064,0.5619926199261993,0.16000000000000003,3.512453874538745
