lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.004,0.0,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.02,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.035,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.05,0.02519842099789747,0.0006666666666666666,244.79000000044073,0.020839999999165318,0.13065332736085428,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.07,0.02519842099789747,0.010666666666666666,242.67487500043063,0.029300499999166438,0.15391742723957155,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.1,0.02519842099789747,0.13133333333333333,242.3814720816475,0.0304741116742935,10152.46293720454,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.14,0.02519842099789747,0.38333333333333336,240.93428869607447,0.03626284521655867,73043.69176532455,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.2,0.02519842099789747,0.722,239.2545429367024,0.0429818282540159,299169.23194540804,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.28,0.02519842099789747,0.9246666666666666,238.2637317956511,0.04694507281820266,635185.0611959848,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.4,0.02519842099789747,0.9973333333333333,237.51626871698357,0.04993492513285901,935160.5587130578,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.6,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.85,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,1.1,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.006,0.0,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.02,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.035,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.05,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.07,0.033019272488946275,0.006666666666666667,162.23980000004656,0.026561199999138595,0.14724665231384698,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.1,0.033019272488946275,0.066,161.45032323236603,0.031298060605199046,0.15990536679683476,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.14,0.033019272488946275,0.2733333333333333,160.37238048784252,0.037765717072308566,24390.432294204016,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.2,0.033019272488946275,0.6113333333333333,158.61293784081442,0.048322372954425596,133042.7588006812,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.28,0.033019272488946275,0.8606666666666667,157.31244461659935,0.05612533229967778,376457.27564557234,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.4,0.033019272488946275,0.9853333333333333,156.093213802453,0.06344071718452017,802435.8372753599,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.6,0.033019272488946275,1.0,155.67183600001525,0.06596898399913415,990666.6733573179,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.85,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,1.1,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.008,0.0,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.02,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.035,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.05,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.07,0.04000000000000001,0.004,121.610999999898,0.027111999999329766,0.14856484656101157,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.1,0.04000000000000001,0.05333333333333334,121.11689999989912,0.03106479999933015,0.1591026989317848,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.14,0.04000000000000001,0.20066666666666666,120.00142857133031,0.03998857142790247,13289.22053121909,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.2,0.04000000000000001,0.514,118.49432425412056,0.05204540596560992,59663.009798363644,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.28,0.04000000000000001,0.7793333333333333,117.14142172788102,0.06286862617555265,251497.6325782046,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.4,0.04000000000000001,0.954,115.75460097824843,0.07396319217264043,635919.1881191654,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.6,0.04000000000000001,0.9993333333333333,115.05765977309537,0.07953872181387878,965977.7907851902,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.85,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,1.1,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.012,0.0,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.02,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.035,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.05,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.07,0.05241482788417794,0.0006666666666666666,80.89599999999287,0.02924799999927516,0.1559759463358117,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.1,0.05241482788417794,0.014,80.48923809523191,0.034129142856418576,0.1676863231177803,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.14,0.05241482788417794,0.09466666666666666,79.71009859154493,0.043478816900684815,0.1885471343948098,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.2,0.05241482788417794,0.3353333333333333,78.57192047713545,0.057136954273630323,5964.445122608036,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
