lambda,eta50,pred_eta,ratio
0.004,0.1554666666666667,0.02519842099789747,6.169698755316402
0.006,0.17512903225806453,0.033019272488946275,5.303842848648218
0.008,0.19360655737704918,0.04000000000000001,4.840163934426228
0.012,0.2347517730496454,0.05241482788417794,4.47872830124294
0.016,0.272663139329806,0.06349604207872799,4.294175359650516
0.024,0.33926829268292685,0.08320335292207617,4.077579577840661
0.032,0.37972093023255815,0.10079368399158986,3.7673087756594126
0.048,0.48071135430916556,0.13207708995578507,3.639627088014215
0.064,0.5436185133239831,0.16000000000000003,3.397615708274894
