lambda,eta50,pred_eta,ratio
0.008,0.18889679715302493,0.04000000000000001,4.722419928825622
0.016,0.27852534562211984,0.06349604207872799,4.38649932348192
0.032,0.38544117647058823,0.10079368399158986,3.824060806257951
