lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.004,0.0,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.02,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.035,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.05,0.02519842099789747,0.0005,244.87400000044113,0.020503999999165273,0.10844559991009584,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.07,0.02519842099789747,0.014,243.0200000004323,0.027919999999166258,0.1276510801333239,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.1,0.02519842099789747,0.168,242.1707916670949,0.03131683333250004,5952.5216699415,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.14,0.02519842099789747,0.413,240.7373704604698,0.03705051815897377,65375.524358103175,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.2,0.02519842099789747,0.7505,239.44264756870302,0.04222940972601692,273151.8043922,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.28,0.02519842099789747,0.928,238.16747737109878,0.0473300905164102,640625.5160299735,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.4,0.02519842099789747,0.9955,237.49055349111416,0.050037786036336435,945253.6763984745,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.6,0.02519842099789747,1.0,237.40200000040556,0.05039199999916921,999500.0005596493,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,0.85,0.02519842099789747,1.0,237.40200000040556,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.004,1.1,0.02519842099789747,1.0,237.40200000040556,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,2000,0.002,270.0
0.006,0.0,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.02,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.035,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.05,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.07,0.033019272488946275,0.011,161.75690909095337,0.029458545453684305,0.13037364941386478,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.1,0.033019272488946275,0.0795,161.3302641509856,0.03201841509347798,0.13569614929285653,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.14,0.033019272488946275,0.3185,160.25714285717993,0.038457142856280685,4709.738932786038,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.2,0.033019272488946275,0.6285,158.52740175022774,0.04883558949794322,128083.06168560272,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.28,0.033019272488946275,0.8915,157.17138754909698,0.05697167470468787,394854.98121740716,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.4,0.033019272488946275,0.9855,156.03632369357354,0.06378205783779504,796042.7928342762,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.6,0.033019272488946275,0.9995,155.66947773888467,0.06598313356591755,992496.2525547991,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,0.85,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.006,1.1,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,2000,0.002,186.66666666666666
0.008,0.0,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.02,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.035,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.05,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.07,0.04000000000000001,0.004,121.70474999989776,0.02636199999933022,0.12202193457543054,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.1,0.04000000000000001,0.0525,121.09359999989921,0.03125119999933016,0.13365623253612852,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.14,0.04000000000000001,0.2275,120.03267252737419,0.03973861977955073,2197.9581687632603,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.2,0.04000000000000001,0.5325,118.54781220647789,0.05161750234675013,63849.98120101062,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
0.008,0.28,0.04000000000000001,0.8225,117.08203282665626,0.06334373738535194,251672.0706666878,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,2000,0.002,145.0
