q,window_lo,window_hi,lambda,eta,hit_prob,W_star,W_lo,W_hi,n
0.5,0.25,2.0,0.048,0.2,0.076,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.28,0.268,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.4,0.5385,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.6,0.8555,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,0.85,0.963,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.048,1.1,0.9905,0.13207708995578507,0.03301927248894627,0.26415417991157014,2000
0.5,0.25,2.0,0.064,0.0,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.02,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.035,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.05,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.07,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.1,0.0,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.14,0.001,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.2,0.0325,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.28,0.16,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.4,0.4335,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.6,0.7385,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,0.85,0.95,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.25,2.0,0.064,1.1,0.9815,0.16000000000000003,0.04000000000000001,0.32000000000000006,2000
0.5,0.5,3.0,0.004,0.0,0.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.02,0.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.035,0.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.05,0.007,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.07,0.0885,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.1,0.3245,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.14,0.6635,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.2,0.912,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.28,0.99,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.4,0.9985,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.6,1.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,0.85,1.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.004,1.1,1.0,0.02519842099789747,0.012599210498948734,0.0755952629936924,2000
0.5,0.5,3.0,0.006,0.0,0.0,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
0.5,0.5,3.0,0.006,0.02,0.0,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
0.5,0.5,3.0,0.006,0.035,0.0,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
0.5,0.5,3.0,0.006,0.05,0.0015,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
0.5,0.5,3.0,0.006,0.07,0.029,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
0.5,0.5,3.0,0.006,0.1,0.185,0.033019272488946275,0.016509636244473137,0.09905781746683882,2000
