lambda,eta,pred_eta,hit_prob,mean_t_hit,mean_W_hit,mean_V_hit,W_star,W_low,W_high,event_mode,peel_dist,W_cut,n,dt,T_run
0.004,0.0,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.02,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.035,0.02519842099789747,0.0,nan,nan,nan,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.05,0.02519842099789747,0.002,243.94533333377004,0.024218666665832434,0.0789517508070446,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.07,0.02519842099789747,0.04,242.81650000043126,0.028733999999166367,0.08586617443589545,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.1,0.02519842099789747,0.228,241.8271871349295,0.032691251461155195,5848.059449807699,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.14,0.02519842099789747,0.5186666666666667,240.63660925491962,0.03745356298117267,53984.71777736528,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.2,0.02519842099789747,0.8126666666666666,239.05391960664795,0.04378432157422989,265791.8366638201,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.28,0.02519842099789747,0.9553333333333334,238.17432798366107,0.04730268806616115,614795.2946412335,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.4,0.02519842099789747,0.9993333333333333,237.49242828592963,0.05003028685707445,933288.9866110466,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.6,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,0.85,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.004,1.1,0.02519842099789747,1.0,237.4020000004055,0.05039199999916921,1000000.0,0.02519842099789747,0.02,0.05039684199579494,window,0.05,0.02,1500,0.002,270.0
0.006,0.0,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.02,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.035,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.05,0.033019272488946275,0.0,nan,nan,nan,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.07,0.033019272488946275,0.020666666666666667,162.04735483875533,0.027715870966880583,0.08447778566540033,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.1,0.033019272488946275,0.14733333333333334,161.09615384619497,0.03342307692221521,0.09269669744318701,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.14,0.033019272488946275,0.39266666666666666,159.75011205436405,0.04149932767316126,16978.046753067763,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.2,0.033019272488946275,0.7273333333333334,158.28394500461062,0.05029632997163865,111824.17626719111,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.28,0.033019272488946275,0.9106666666666666,157.13593704248194,0.05718437774437701,355787.9203638088,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.4,0.033019272488946275,0.992,156.03602822582343,0.06378383064429577,797043.1113852743,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.6,0.033019272488946275,1.0,155.6697026666819,0.06598178399913415,990666.6728716728,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,0.85,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.006,1.1,0.033019272488946275,1.0,155.6620000000152,0.06602799999913414,1000000.0,0.033019272488946275,0.02,0.06603854497789255,window,0.05,0.02,1500,0.002,186.66666666666666
0.008,0.0,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.02,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.035,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.05,0.04000000000000001,0.0,nan,nan,nan,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.07,0.04000000000000001,0.013333333333333334,121.44329999989836,0.02845359999933012,0.08518837871811673,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.1,0.04000000000000001,0.09333333333333334,120.76565714275709,0.033874742856473246,0.09338454609107152,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.14,0.04000000000000001,0.30666666666666664,119.57831304338097,0.04337349565150528,8695.76475534448,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.2,0.04000000000000001,0.638,118.06833228830747,0.055453341692122717,48067.03483950115,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.28,0.04000000000000001,0.8506666666666667,116.84133385570847,0.06526932915293895,230408.06164891724,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.4,0.04000000000000001,0.972,115.63635802460324,0.07490913580180429,624142.884762448,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.6,0.04000000000000001,1.0,115.0504493332466,0.0795964053326691,965333.8033993203,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,0.85,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.008,1.1,0.04000000000000001,1.0,114.99999999991338,0.0799999999993358,1000000.0,0.04000000000000001,0.020000000000000004,0.08000000000000002,window,0.05,0.02,1500,0.002,145.0
0.012,0.0,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.02,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.035,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.05,0.05241482788417794,0.0,nan,nan,nan,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.07,0.05241482788417794,0.0026666666666666666,80.2819999999943,0.036615999999275936,0.0961701206836195,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.1,0.05241482788417794,0.03866666666666667,80.11558620689127,0.03861296551651741,0.1003174498222088,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.14,0.05241482788417794,0.184,79.25537681159089,0.048935478260146034,0.11236662310742505,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
0.012,0.2,0.05241482788417794,0.464,78.19989080459685,0.06160131034410393,4310.487210405377,0.05241482788417794,0.02620741394208897,0.10482965576835589,window,0.05,0.02,1500,0.002,103.33333333333333
