lambda,eta50,pred_eta,ratio
0.004,0.13743119266055046,0.02519842099789747,5.453960495065051
0.006,0.15924302788844621,0.033019272488946275,4.822729754017304
0.008,0.17501006036217304,0.04000000000000001,4.375251509054325
0.012,0.2107196029776675,0.05241482788417794,4.020228845228657
0.016,0.24935779816513765,0.06349604207872799,3.927139235796176
0.024,0.3018901098901099,0.08320335292207617,3.628340677242227
0.032,0.34738660907127433,0.10079368399158986,3.4465116792462904
0.048,0.43757338551859104,0.13207708995578507,3.3130150404212855
0.064,0.4982269503546099,0.16000000000000003,3.1139184397163113
