lambda,eta50,pred_eta,ratio
0.004,0.1545526838966203,0.02519842099789747,6.13342732505009
0.006,0.17264367816091955,0.033019272488946275,5.228573046808187
0.008,0.19094827586206897,0.04000000000000001,4.773706896551723
0.012,0.2340740740740741,0.05241482788417794,4.465798773417936
0.016,0.27301886792452834,0.06349604207872799,4.299777733957268
0.024,0.3358490566037736,0.08320335292207617,4.036484646457841
0.032,0.3795633187772926,0.10079368399158986,3.7657450719725953
0.048,0.4841328413284133,0.13207708995578507,3.665532315184144
0.064,0.5390070921985816,0.16000000000000003,3.368794326241134
