lambda,eta,hit_prob,n,W_star,requested_W_lo,requested_W_hi,effective_W_lo,effective_W_hi,window_clipped,skipped
0.004,0.0,0.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.02,0.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.035,0.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.05,0.0035,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.07,0.0555,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.1,0.2455,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.14,0.5345,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.2,0.8395,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.28,0.9595,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.4,0.9965,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.6,1.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,0.85,1.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.004,1.1,1.0,2000,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,False
0.006,0.0,0.0,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.02,0.0,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.035,0.0,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.05,0.0015,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.07,0.01,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.1,0.105,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.14,0.3145,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.2,0.681,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.28,0.902,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.4,0.983,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.6,0.999,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,0.85,1.0,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.006,1.1,1.0,2000,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,False
0.008,0.0,0.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.02,0.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.035,0.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.05,0.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.07,0.0065,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.1,0.057,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.14,0.2435,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.2,0.5435,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.28,0.8215,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.4,0.958,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.6,1.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,0.85,0.9995,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.008,1.1,1.0,2000,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,False
0.012,0.0,0.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.02,0.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.035,0.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.05,0.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.07,0.0,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.1,0.0185,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.14,0.1175,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.2,0.371,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.28,0.6585,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
0.012,0.4,0.8975,2000,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,False
