lambda,eta50_interp,W_star,requested_W_lo,requested_W_hi,effective_W_lo,effective_W_hi,window_clipped,used_points,lambda_pow_half,lambda_pow_2over3
0.004,0.1352249134948097,0.02519842099789747,0.012599210498948734,0.05039684199579494,0.012599210498948734,0.05039684199579494,False,13,0.06324555320336758,0.02519842099789747
0.006,0.17036834924965893,0.033019272488946275,0.016509636244473137,0.06603854497789255,0.016509636244473137,0.06603854497789255,False,13,0.07745966692414834,0.033019272488946275
0.008,0.19130000000000003,0.04000000000000001,0.020000000000000004,0.08000000000000002,0.020000000000000004,0.08000000000000002,False,13,0.08944271909999159,0.04000000000000001
0.012,0.23589565217391306,0.05241482788417794,0.02620741394208897,0.10482965576835589,0.02620741394208897,0.10482965576835589,False,13,0.10954451150103323,0.05241482788417794
0.016,0.2714893617021277,0.06349604207872799,0.03174802103936399,0.12699208415745597,0.03174802103936399,0.12699208415745597,False,13,0.12649110640673517,0.06349604207872799
0.024,0.336,0.08320335292207617,0.04160167646103809,0.16640670584415235,0.04160167646103809,0.16640670584415235,False,13,0.15491933384829668,0.08320335292207617
0.032,0.38396039603960397,0.10079368399158986,0.05039684199579493,0.20158736798317972,0.05039684199579493,0.20158736798317972,False,13,0.17888543819998318,0.10079368399158986
0.048,0.48630490956072353,0.13207708995578507,0.06603854497789254,0.26415417991157014,0.06603854497789254,0.26415417991157014,False,13,0.21908902300206645,0.13207708995578507
0.064,0.548644793152639,0.16000000000000003,0.08000000000000002,0.32000000000000006,0.08000000000000002,0.32000000000000006,False,13,0.25298221281347033,0.16000000000000003
